TeamId,TeamName,SubmissionDate,Score
99273,"Mania Yang","2014-06-06 01:25:23",0.50000
99293,fronori,"2014-06-06 03:23:25",0.72321
99313,"fernando nogueira","2014-06-06 06:16:27",0.78125
99312,Vopani,"2014-06-06 06:20:44",0.59821
99319,"shit happens!","2014-06-06 08:15:07",0.71875
99327,GFcg,"2014-06-06 09:59:38",0.75892
99339,"Piotr Kuchta","2014-06-06 10:05:50",0.50000
99342,"Fernando de la Calle Silos","2014-06-06 10:35:49",0.47767
99346,"Dodo van Oranje","2014-06-06 10:45:05",0.89508
99352,"Alexander  Larko","2014-06-06 11:14:04",0.75446
99355,MVQ,"2014-06-06 11:39:52",0.84375
99359,Ozgur,"2014-06-06 11:54:23",0.50000
99360,"ASR ML","2014-06-06 11:56:56",0.58035
99362,"Ulo Gulo (mlsp)","2014-06-06 12:55:06",0.70089
99371,etnewton,"2014-06-06 13:37:26",0.74107
99393,bobotouyitou,"2014-06-06 16:29:10",0.76339
99391,lol,"2014-06-06 16:49:19",0.73660
99404,Zhuz,"2014-06-06 17:55:24",0.73660
99412,optimizer,"2014-06-06 18:42:40",0.73214
99333,"DMJD (mlsp)","2014-06-06 20:44:43",0.84821
99428,"Jason Noriega (mlsp)","2014-06-06 21:38:26",0.77678
99391,lol,"2014-06-07 01:20:11",0.76785
99428,"Jason Noriega (mlsp)","2014-06-07 02:39:11",0.78125
99352,"Alexander  Larko","2014-06-07 03:10:15",0.77678
99404,Zhuz,"2014-06-07 05:39:42",0.78125
99481,"Vikram Jha","2014-06-07 06:55:13",0.50000
99474,"Zhao Yilong","2014-06-07 14:12:33",0.80133
99522,BartekP,"2014-06-07 14:18:42",0.85267
99556,"wenxin zhao","2014-06-07 19:52:23",0.80803
99557,"Karolis Koncevičius","2014-06-07 20:08:53",0.84375
99511,"Vivant Shen & kaza","2014-06-07 21:19:10",0.80803
99558,cvs5202,"2014-06-07 21:22:36",0.63839
99564,razgon,"2014-06-07 21:35:33",0.76339
99570,"Ali Ziat","2014-06-07 22:56:30",0.70535
99572,"Olson and Mingle","2014-06-07 23:55:51",0.56473
99428,"Jason Noriega (mlsp)","2014-06-08 00:00:27",0.83482
99474,"Zhao Yilong","2014-06-08 04:32:19",0.84821
99570,"Ali Ziat","2014-06-08 08:22:02",0.79017
99622,"David Hoeffer","2014-06-08 09:40:53",0.75446
99639,tylerelyt,"2014-06-08 13:06:47",0.73214
99658,danb,"2014-06-08 15:52:24",0.53571
99391,lol,"2014-06-08 17:22:26",0.82589
99564,razgon,"2014-06-08 18:41:08",0.84821
99693,dlsiii,"2014-06-08 21:19:24",0.76562
99572,"Olson and Mingle","2014-06-08 21:43:22",0.67410
99695,naxeji,"2014-06-08 22:17:59",0.81696
99704,tue_team,"2014-06-08 22:30:04",0.75223
99558,cvs5202,"2014-06-08 22:39:36",0.76785
99697,"Andreas Merentitis (mlsp)","2014-06-08 22:55:03",0.27678
99412,optimizer,"2014-06-09 00:13:44",0.79464
99704,tue_team,"2014-06-09 01:30:16",0.77008
99428,"Jason Noriega (mlsp)","2014-06-09 02:14:23",0.83928
99474,"Zhao Yilong","2014-06-09 03:14:52",0.86160
99697,"Andreas Merentitis (mlsp)","2014-06-09 04:07:05",0.72321
99724,j,"2014-06-09 05:09:13",0.70089
99319,"shit happens!","2014-06-09 08:21:07",0.87946
99312,Vopani,"2014-06-09 09:48:15",0.75000
99757,Jackdaw,"2014-06-09 11:27:22",0.73660
99779,Sandro,"2014-06-09 13:23:13",0.75892
99404,Zhuz,"2014-06-09 17:09:48",0.82142
99799,"Gabe Gaster","2014-06-09 18:54:25",0.70535
99828,GJ,"2014-06-09 19:37:55",0.70089
99570,"Ali Ziat","2014-06-10 00:32:35",0.80803
99428,"Jason Noriega (mlsp)","2014-06-10 01:33:58",0.84821
99558,cvs5202,"2014-06-10 02:55:55",0.79464
99877,Isrish,"2014-06-10 04:48:10",0.60267
99312,Vopani,"2014-06-10 05:04:23",0.75892
99697,"Andreas Merentitis (mlsp)","2014-06-10 06:22:25",0.74553
99898,"Ayush (mlsp)","2014-06-10 09:01:55",0.75892
99313,"fernando nogueira","2014-06-10 09:50:02",0.86160
99572,"Olson and Mingle","2014-06-10 12:35:33",0.73660
99929,ThomasM,"2014-06-10 13:16:54",0.73214
99966,"Lucas Snow","2014-06-10 17:56:50",0.77232
99828,GJ,"2014-06-10 18:45:51",0.75892
99622,"David Hoeffer","2014-06-10 19:45:07",0.79910
99979,DA,"2014-06-10 19:59:19",0.75000
99724,j,"2014-06-10 19:59:31",0.79910
99836,Strawberry_Field,"2014-06-10 20:25:07",0.36607
99991,deassis,"2014-06-10 21:34:53",0.75892
100001,"Max C","2014-06-10 22:53:45",0.77232
99689,sshchicago,"2014-06-10 23:07:31",0.77232
99412,optimizer,"2014-06-11 00:04:11",0.80803
100007,Jiwoong,"2014-06-11 01:36:13",0.73660
99836,Strawberry_Field,"2014-06-11 02:15:05",0.69642
99877,Isrish,"2014-06-11 04:09:53",0.63839
99404,Zhuz,"2014-06-11 05:19:18",0.83482
99319,"shit happens!","2014-06-11 08:18:41",0.91964
99622,"David Hoeffer","2014-06-11 08:53:22",0.80357
100061,"c y","2014-06-11 09:38:31",0.30803
99362,"Ulo Gulo (mlsp)","2014-06-11 11:29:40",0.80803
99966,"Lucas Snow","2014-06-11 12:58:39",0.78571
100088,biubiubiu,"2014-06-11 13:39:55",0.48660
100109,bobA,"2014-06-11 14:43:28",0.66071
99339,"Piotr Kuchta","2014-06-11 14:44:02",0.67410
99639,tylerelyt,"2014-06-11 15:43:10",0.80803
100113,jlef,"2014-06-11 15:52:57",0.60267
99929,ThomasM,"2014-06-11 16:37:03",0.77232
100132,Ravi,"2014-06-11 16:56:39",0.50000
100150,"Jason Karpeles","2014-06-11 19:16:30",0.73660
100159,Stein,"2014-06-11 21:22:59",0.82142
100168,Shahab,"2014-06-11 23:08:46",0.59821
99966,"Lucas Snow","2014-06-12 00:02:47",0.81250
100088,biubiubiu,"2014-06-12 03:27:36",0.58035
100061,"c y","2014-06-12 03:54:38",0.67410
99836,Strawberry_Field,"2014-06-12 04:39:58",0.79017
100219,Senuk,"2014-06-12 08:13:30",0.80803
100100,tuomas_s,"2014-06-12 08:54:50",0.66517
99898,"Ayush (mlsp)","2014-06-12 11:19:50",0.80357
100161,blaine,"2014-06-12 11:29:06",0.83928
100109,bobA,"2014-06-12 11:57:56",0.68303
99362,"Ulo Gulo (mlsp)","2014-06-12 12:00:54",0.88392
100277,SRK,"2014-06-12 14:20:42",0.80803
100150,"Jason Karpeles","2014-06-12 14:30:08",0.76339
99312,Vopani,"2014-06-12 15:17:36",0.76785
100290,"Ankush Shah","2014-06-12 16:08:08",0.56919
