Purpose,Disorder,Modality,Feature,Classifier,Validation,Overall accuracy,Number of
"",,,,,,,subjects
Classification,MCI,rs-fMRI,Functional,SVM,LOOCV,0.919 (MCI vs,"MCI = 12,"
"",,,connectivity,,,NC),"NC = 25,"
"",,,network,,,,total = 37
Classification,AD/MCI,sMRI,Local binary,SVM,10-fold CV,0.828 (AD vs,"AD = 80,"
"",,,pattern,,,"HC), 0.615","pMCI = 141,"
"",,,,,,(MCI vs NC),"HC = 142,"
"",,,,,,,total = 363
Classification,AD,"sMRI, DTI",DTI features,SVM,LOOCV,0.943 (AD vs,"AD = 21,"
"",,,,,,"HC),","HC = 15,"
"",,,,,,,total = 36
Classification,MCI,sMRI,Cortical features,SVM,LOOCV,0.8 (aMCI vs,"aMCI = 24,"
"",,,,,,NC),"NC = 26,"
"",,,,,,,total = 50
Classification,AD/MCI,T1WI,Voxel-wise,SVM,10-fold CV,"0.9 (AD vs HC),","AD = 198,"
"",,,imaging fea-,,,0.87 (pMCI,"pMCI = 167,"
"",,,tures,,,"vs NC), 0.71","sMCI = 236,"
"",,,,,,(pMCIvs,"HC = 229,"
"",,,,,,sMCI),total = 830
Classification,MCI,PET,Neuropsycho-,SVM,N/A,0.89 (cMCI vs,"cMCI = 25,"
"",,,logical test,,,sMCI),"sMCI = 20,"
"",,,data,,,,total = 45
Classification,AD/MCI,"sMRI, FDG-","GM structure,",SVM,10-fold CV,0.95 (AD vs,"AD = 51,"
"",,PET,"PET, CSF",,,"HC), 0.8 (MCI","cMCI = 43,"
"",,,biomarker,,,"vs NC), 0.746","ncMCI = 56,"
"",,,,,,"(MCI vs AD),","HC = 52,"
"",,,,,,0.72 (ncMCI,total = 202
"",,,,,,vs cMCI),
Classification,MCI,"MRI, PET",189 features (93,M2TL,10-fold CV,0.801 (cMCI vs,"AD = 51,"
"",,,"MRI, 93PET, 3",,,ncMCI),"cMCI = 43,"
"",,,CSF),,,,"ncMCI = 56,"
"",,,,,,,"NC = 52,"
"",,,,,,,total = 202
Classification,AD,"dMRI, rs-fMRI,",Fiber tract integ-,SVM,LOOCV,0.85 (AD vs,"AD = 28,"
"",,sMRI,"rity, graph-",,,HC),"HC = 25,"
"",,,theoretical,,,,total = 53
"",,,"measures, GM",,,,
"",,,volume,,,,
Classification,AD,MRI,Longitudinal,SVM + RBF,k-fold CV,0.917 (AD vs,"AD = 30,"
"",,,percentage of,,,HC),"HC = 30,"
"",,,brain volume,,,,total = 60
"",,,changes,,,,
Purpose,Disorder,Modality,Feature,Classifier,Validation,Overall accuracy,Number of
"",,,,,,,subjects
Classification,AD/MCI,"MRI, FDG-PET","GM volume,",SVM,10-fold CV,0.9503 (AD vs,"AD = 51,"
"",,,average inten-,,,"HC), 0.7927","pMCI = 99,"
"",,,sity of PET,,,"(MCI vs NC),","HC = 52,"
"",,,,,,0.689 (cMCI,total = 202
"",,,,,,vs ncMCI),
Classification,AD,rs-fMRI,Network-based,SVM,LOOCV,1.0 (AD vs HC),"AD = 20,"
"",,,features,,,,"HC = 20,"
"",,,,,,,total = 40
Classification,AD/MCI,MRI,GM volumetric,SVM,10-fold CV,0.925 (AD vs,"AD = 97,"
