reference,title,author,publication title,publication year,nb pMCI,nb sMCI,time to prediction (in years),dataset,socio-demographic features,APOE,cog - general,cog - domain,cog - new / specific,T1 - voxel based,T1 - roi (whole brain),T1 - selected roi,wm hyperintensities,PET FDG,PET Amyloid,PET Tau,CSF,Amyloid status,DTI,fMRI,EEG/MEG,Others,logitudinal,feature selection,advanced feature processing,trained on AD vs CN,algorithm,cross-validation method,AUC,accuracy,balanced accuracy,sensitivity,specificity
Plocharski et Østergaard 2019,Prediction of Alzheimer’s Disease in Mild Cognitive Impairment Using Sulcal Morphology and Cortical Thickness,"Plocharski, Maciej; Østergaard, Lasse Riis",World Congress on Medical Physics and Biomedical Engineering 2018,2019,90.0,104.0,1,ADNI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Linear SVM,10-fold,94.0,87.0,87.05000000000001,89.7,84.4
Thung et al. 2018,Conversion and time-to-conversion predictions of mild cognitive impairment using low-rank affinity pursuit denoising and matrix completion,"Thung, Kim-Han; Yap, Pew-Thian; Adeli, Ehsan; Lee, Seong-Whan; Shen, Dinggang",Medical Image Analysis,2018,65.0,53.0,prediction of time conversion + label (not fixed),ADNI,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,LRMC,out of the bag,88.0,81.2,,,
Thung et al. 2018,Conversion and time-to-conversion predictions of mild cognitive impairment using low-rank affinity pursuit denoising and matrix completion,"Thung, Kim-Han; Yap, Pew-Thian; Adeli, Ehsan; Lee, Seong-Whan; Shen, Dinggang",Medical Image Analysis,2018,65.0,53.0,prediction of time conversion + label (not fixed),ADNI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,LRMC,out of the bag,82.0,73.7,,,
Vivar et al. 2018,Multi-modal Disease Classification in Incomplete Datasets Using Geometric Matrix Completion,"Vivar, Gerome; Zwergal, Andreas; Navab, Nassir; Ahmadi, Seyed-Ahmad",arXiv:1803.11550 [cs],2018,169.0,61.0,4,ADNI - TADPOLE,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,Neural network,10-fold,95.0,87.0,,,
Massimiliano Grassi et al. 2018,A Clinically-Translatable Machine Learning Algorithm for the Prediction of Alzheimer’s Disease Conversion in Individuals with Mild and Premild Cognitive Impairment,"Grassi, Massimiliano; Perna, Giampaolo; Caldirola, Daniela; Schruers, Koen; Duara, Ranjan; Loewenstein, David A.",Journal of Alzheimer's Disease,2018,27.0,34.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,
Zheng et al. 2018,Identification of Alzheimer’s Disease and Mild Cognitive Impairment Using Networks Constructed Based on Multiple Morphological Brain Features,"Zheng, Weihao; Yao, Zhijun; Xie, Yuanwei; Fan, Jin; Hu, Bin",Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,2018,126.0,95.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Non-linear SVM,k-fold,72.0,67.0,66.5,72.0,61.0
H. Zhang et al. 2018,Cerebrospinal fluid synaptosomal-associated protein 25 is a key player in synaptic degeneration in mild cognitive impairment and Alzheimer's disease,"Zhang, H.; Therriault, J.; Kang, M.S.; Ng, K.P.; Pascoal, T.A.; Rosa-Neto, P.; Gauthier, S.",Alzheimer's Research and Therapy,2018,47.0,22.0,,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,,,,,,,
Vecchio et al. 2018,Sustainable method for Alzheimer dementia prediction in mild cognitive impairment: Electroencephalographic connectivity and graph theory combined with apolipoprotein E,"Vecchio, D.F.; Miraglia, D.F.; Iberite, D.F.; Lacidogna, D.G.; Guglielmi, D.V.; Marra, D.C.; Pasqualetti, D.P.; Tiziano, D.F.D.; Rossini, P.P.M.",Annals of Neurology,2018,71.0,74.0,not fixed,Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,Linear regression,10-fold,64.0,61.0,61.5,56.99999999999999,66.0
Vecchio et al. 2018,Sustainable method for Alzheimer dementia prediction in mild cognitive impairment: Electroencephalographic connectivity and graph theory combined with apolipoprotein E,"Vecchio, D.F.; Miraglia, D.F.; Iberite, D.F.; Lacidogna, D.G.; Guglielmi, D.V.; Marra, D.C.; Pasqualetti, D.P.; Tiziano, D.F.D.; Rossini, P.P.M.",Annals of Neurology,2018,45.0,52.0,not fixed,Local,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Linear regression,10-fold,51.0,,,,
Vecchio et al. 2018,Sustainable method for Alzheimer dementia prediction in mild cognitive impairment: Electroencephalographic connectivity and graph theory combined with apolipoprotein E,"Vecchio, D.F.; Miraglia, D.F.; Iberite, D.F.; Lacidogna, D.G.; Guglielmi, D.V.; Marra, D.C.; Pasqualetti, D.P.; Tiziano, D.F.D.; Rossini, P.P.M.",Annals of Neurology,2018,45.0,52.0,not fixed,Local,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,Linear regression,10-fold,97.0,91.7,91.35,96.7,86.0
Vecchio et al. 2018,Sustainable method for Alzheimer dementia prediction in mild cognitive impairment: Electroencephalographic connectivity and graph theory combined with apolipoprotein E,"Vecchio, D.F.; Miraglia, D.F.; Iberite, D.F.; Lacidogna, D.G.; Guglielmi, D.V.; Marra, D.C.; Pasqualetti, D.P.; Tiziano, D.F.D.; Rossini, P.P.M.",Annals of Neurology,2018,45.0,52.0,not fixed,local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,Linear regression,10-fold,63.0,59.599999999999994,59.5,50.0,69.0
Vecchio et al. 2018,Sustainable method for Alzheimer dementia prediction in mild cognitive impairment: Electroencephalographic connectivity and graph theory combined with apolipoprotein E,"Vecchio, D.F.; Miraglia, D.F.; Iberite, D.F.; Lacidogna, D.G.; Guglielmi, D.V.; Marra, D.C.; Pasqualetti, D.P.; Tiziano, D.F.D.; Rossini, P.P.M.",Annals of Neurology,2018,43.0,42.0,not fixed,local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,Linear regression,10-fold,62.0,61.0,71.0,52.0,90.0
