Modality,Disorder,Features,# of features,Classifier,Number of subjects,Overall accuracy,Reference
dMRI,Schizophrenia,Discriminant PCA of FA maps,60,Fisher's linear discriminant,90,80%,Caprihan et al. (2008)
dMRI,Schizophrenia,FA maps,13,LDA,58,75%,Caan et al. (2006)
dMRI,Schizophrenia,Voxels of FA and MA maps reduced by PCA,11–13,LDA,100,96%,Ardekani et al. (2011)
fMRI (sensorimotor<comma> AOD<comma> WMT tasks),Schizophrenia,Mean activation of the largest activation cluster,1,Majority vote of 3 decision stumps,28,96%,Honorio et al. (2012)
fMRI (AOD/Sternberg/sensorimotor tasks),Schizophrenia,ICA spatial maps,10–14,Projection pursuit,138,85%,Demirci et al. (2008a)
fMRI (AX-CPT task),Schizophrenia (first-episode),Voxels of left DLPFC in the contrast map,N/A,LDA,102,62%,Yoon et al. (2012)
fMRI- (Monetary Incentive Delay task),Schizophrenia,MVPA of task activation pattern (best result for right palladium),N/A,Searchlight SVM,88,93%,Koch et al. (2015)
fMRI (sensorimotor task) and SNP,Schizophrenia,Sparse representation based variable selection,200,Sparse representation based classifier,208,77%,Cao et al. (2013)
fMRI (verbal fluency task),Schizophrenia/bipolar,Thresholded voxels in activation map by ANOVA tests,N/A,SVM,104,92%,Costafreda et al. (2011b)
fMRI (visual task),Schizophrenia,Selected active voxels from the contrast map,346,MVPA,34,65.5%,Yoon et al. (2008)
fMRI (WMT task),Schizophrenia with and without OCD,MVPA on GLM contrast values,33,SVM,53,83%,Bleich-Cohen et al. (2014)
fMRI (AOD task),Schizophrenia,ICA Spatial Maps of magnitude and phase data,135–243,Multiple kernel learning,52,85%,Castro et al. (2014)
fMRI (AOD task),Schizophrenia,ICA (temporal and DMN network) and GLM spatial maps parcellated into AAL atlas,116,Recursive composite kernels,106,95%,Castro et al. (2011)
fMRI (AOD task),Schizophrenia/bipolar,Distance to mean image for each group build using ICA spatial maps (DMN and temporal lobe),3,Minimum distance,61,89%,Calhoun et al. (2008)
fMRI (AOD task),Schizophrenia/bipolar,ICA spatial maps (DMN and temporal lobe),10,Bayesian generalized softmax perceptron,60,87%,Arribas et al. (2010)
rsfMRI,Schizophrenia,Functional connectivity among 116 regions in AAL atlas reduced by PCA,333,SVM,71,62%,Yu et al. (2013b)
rsfMRI,Schizophrenia/MDD,FC among ROIs,6670,SVM,89,80.9%,Yu et al. (2013a)
rsfMRI,Schizophrenia,Functional connectivity among 347 nodes placed as a grid in the entire brain,3000,Fused Lasso<comma> GraphNet,145,91%,Watanabe et al. (2014)
rsfMRI,Schizophrenia,FALFF values of the left ITG,N/A,SVM,92,75%,Guo et al. (2014b)
rsfMRI,Schizophrenia,FC among 90 ROIs,1096,Random forest,36,75%,Venkataraman et al. (2012)
rsfMRI,Schizophrenia,FC among 90 regions in WFU atlas reduced by PCA,550,SVM,44,93%,Tang et al. (2012)
rsfMRI,Schizophrenia,Functional connectivity (based on extended maximized mutual information) among 116 AAL regions,6670,SVM,64,83%,Su et al. (2013)
rsfMRI,Schizophrenia,Dimension-reduced FC (local linear embedding) among AAL ROIs,12,C-means clustering,52,86%,Shen et al. (2010)
rsfMRI,Schizophrenia,Functional connectivity among 116 regions in AAL atlas,6670,Deep neural network,100,86%,Kim et al. (2015)
rsfMRI,Schizophrenia,Functional connectivity based on ICA decomposition,46,Regularized linear discriminant classifier,267,79.5%,Kaufmann et al. (2015)
rsfMRI,Schizophrenia,Graph measures of functional connectivity,N/A,SVM,48,80.0%,Cheng et al. (2015b)
rsfMRI,Schizophrenia,Local and global complex network measures,216,SVM,18,100%,Fekete et al. (2013)
rsfMRI,Schizophrenia,Functional connectivity patterns,6–7 variable,Ensemble of SVM classifiers,62,86%,Fan et al. (2011)
rsfMRI,Schizophrenia,Pearson correlation features derived from regional homogeneity<comma> ALFF<comma> FALLF and voxel-mirrored homotopic connectivity,100,Ensemble of ELMs,144,85.5%,Chyzhyk et al. (2015)
rsfMRI,Schizophrenia,Size of connected components in graphs build from correlation among time-courses for 90 AAL regions,N/A,SVM,58,75%,Bassett et al. (2012)
rsfMRI,Schizophrenia,Functional network connectivity among 9 ICA time-courses,45,SVM (best result),56,96%,Arbabshirani et al. (2013)
rsfMRI,Schizophrenia,MVPA based on whole brain thalamic connectivity map,N/A,SVM,180,73.9%,Anticevic et al. (2014)
rsfMRI,Schizophrenia,Graph metrics based on FNC computed from ICA,13,SVM,146,65%,Anderson and Cohen (2013)
sMRI,Schizophrenia,Voxels from five regions based on optimally discriminative voxel-based morphometry,N/A,SVM,148,71%,Zhang and Davatzikos (2013)
sMRI,Schizophrenia (first episode),Whole brain volumetric measurements based on RAVENS,69,SVM,124,73%,Zanetti et al. (2013)
sMRI,Schizophrenia (first-episode),Volume and mean cortical thickness of selected ROIs,2<comma>5,Discriminant function analysis,92,80%,Takayanagi et al. (2011)
sMRI,Schizophrenia and psychosis,Cortical GMD,129,Sparse multinomial logistic regression classifier,72,86%,Sun et al. (2009)
sMRI,Schizophrenia/bipolar,Voxel-wise GM maps,N/A,SVM,167,78.5%,Schnack et al. (2014)
sMRI,Schizophrenia,Texture and volumetric measures,N/A,LDA,51,68.85%,Radulescu et al. (2014)
sMRI,Schizophrenia,Clinical<comma> neuropsychological<comma> biochemical and volumetric measures,1050,SVM,123,90%,Pina-Camacho et al. (2015)
sMRI,Schizophrenia/bipolar,Volume of 23 ROIs along with 22 neuropsychological test scores,45,LDA,28,96%,Pardo et al. (2006)
sMRI,Schizophrenia,GM and CSF volumetric measures of ROIs,4,LDA,189,73%,Ota et al. (2012)
sMRI,Schizophrenia,Gray matter densities based on voxel-based morphometry of top 10% voxels,15<comma>700,SVM,258,71%,Nieuwenhuis et al. (2012)
sMRI,Schizophrenia,Volume of several ROIs in the brain,7,LDA,104,82%,Nakamura et al. (2004)
sMRI,Schizophrenia/mood disorder,GM maps of regional analysis of brain volumes in normalized space (RAVENS),170,SVM-RFE,262,76%,Koutsouleris et al. (2015)
sMRI,Schizophrenia,The mean expression of eigen image derived from voxel-based morphometry,1,Simple Thresholding,92,85%,Kawasaki et al. (2007)
sMRI,Schizophrenia (first-episode),Whole brain voxel intensity values,N/A (probably thousands),Maximum-uncertainty LDA,78,72%,Kasparek et al. (2011)
sMRI,Recent onset Schizophrenia,Volumetric measurements of 95 ROIs,5,LDA,75,72%,Karageorgiou et al. (2011)
sMRI,Schizophrenia,MR intensities<comma> gray matter densities and deformation based morphometry,96 per feature category,Combination of mMLDA<comma> centroid method<comma> and the average linkage,98,81.6%,Janousova et al. (2015)
sMRI,Schizophrenia,GM and WM maps,N/A,SVM,39,71.8%,Iwabuchi et al. (2013)
sMRI,Schizophrenia (identifying subtypes),Multi-edge graphs build from Structural connectivity networks with 78 ROIs,N/A,Spectral clustering,52,78%,Ingalhalikar et al. (2012)
sMRI,Schizophrenia (childhood onset),Cortical thickness,74,Random Forrest,197,74%,Greenstein et al. (2012)
sMRI,Schizophrenia (cognitive deficit and cognitive spared),Whole brain voxel-based morphometry,N/A,SVM,412,64%,Gould et al. (2014)
sMRI,Schizophrenia,Volumetric measurements based on deformation-based morphometry,39/44,SVM,74,91%,Fan et al. (2007)
sMRI,Schizophrenia,Volumetric measures of all WM<comma> GM and CSF,69,SVM-RFE,61,92%,Fan et al. (2005)
sMRI,Schizophrenia,Whole brain volumetric measurements,N/A,Nonlinear classifier (not specified),148,81%,Davatzikos et al. (2005)
sMRI,Schizophrenia,Hippocampal and thalamic shape eigenvectors,25,Discriminant function analysis,117,79%,Csernansky et al. (2004)
sMRI,Schizophrenia,Visual words extracted from DLPFC by SIFT and clustered by k-means,30,SVM with local kernel,108,70.5%,Castellani et al. (2012)
sMRI,Schizophrenia,Surface morphological measures,N/A,Semi-supervised (hierarchical clustering),105,94.0%,Bansal et al. (2012)
sMRI and dMRI,Schizophrenia/MDD,Volume and FA of insula<comma> thalamus<comma> ACC<comma> ventricles and corpus callosum,31,LDA,50,80%,Ota et al. (2013)
fMRI (AOD task) and rsfMRI,Schizophrenia,Kernel PCA on ICA spatial maps,53,Fisher's linear discriminant,56,95.5%,Du et al. (2012)
fMRI (AOD task) and rsfMRI,Schizophrenia,FNC scores derived from ICA-based multi-network fusion template for functional normalization,3 and 100,LDA and shapelet based classifier,55,72%,Çetin et al. (2015)
fMRI (AOD task) and SNP,Schizophrenia,Three types of features: selected voxels in fMRI activation map<comma> selected SNPs and ICA components,261 voxels + 150 SNPs,Majority voting among 3 SVMs,40,87%,Yang et al. (2010)
sMRI<comma> rsfMRI and dMRI,Schizophrenia,Gray matter densities from structural<comma> FA from DTI and ALFF from fMRI,1863,SVM,63,79%,Sui et al. (2013b)
