Title,Study,Conditions,Database Name,Data Analysis,Best Accuracy
"",,Studied,,Technique,Achieved
Automated hippocampal shape analysis predicts the onset of,"Costafreda, S. et al.","AD, MCI",AddNeuroMed,ML,85.0%
dementia in mild cognitive impairment,[29],,,,
Different multivariate techniques for automated classification,"Aguilar, C. et al. [25]","AD, MCI",AddNeuroMed,ML,84.9%
of MRI data in Alzheimer's disease and mild cognitive,,,,,
impairment,,,,,
An MRI-derived definition of MCI-to-AD conversion for long-,"Aksu, Y. et al. [26]","AD, MCI",ADNI,ML,83.00%
"term, automatic prognosis of MCI patients",,,,,
Discriminant analysis of longitudinal cortical thickness,"Li, Y. et al. [39]","AD, MCI",ADNI,ML,81.7%
changes in Alzheimer's disease using dynamic and network,,,,,
features,,,,,
BrainAGE in Mild Cognitive Impaired Patients: Predicting the,"Gaser, C. et al. [53]","AD, MCI",ADNI,ML,81.0%
Conversion to Alzheimer's Disease,,,,,
Domain Transfer Learning for MCI Conversion Prediction,"Cheng, B. et al. [28]","AD, MCI",ADNI,ML,79.4%
Predicting future clinical changes of MCI patients using,"Zhang, D. et al. [52]","AD, MCI",ADNI,ML,78.4%
longitudinal and multimodal biomarkers,,,,,
Deep learning-based feature representation for AD/MCI,"Suk, Heung-Il; Shen,","AD, MCI",ADNI,ML,75.80%
classification,Dinggang [51],,,,
Anatomically constrained weak classifier fusion for early,"Komlagan, M. et al.","AD, MCI",ADNI,ML,75.6%
detection of Alzheimer's disease,[37],,,,
Hierarchical interactions model for predicting Mild Cognitive,"Li, H. et al. [38]","AD, MCI",ADNI,ML,74.76%
Impairment (MCI) to Alzheimer's Disease (AD) conversion,,,,,
Machine learning framework for early MRI-based Alzheimer's,"Moradi, E. et al. [40]","AD, MCI",ADNI,ML,74.74%
conversion prediction in MCI subjects,,,,,
Automatic Prediction of Conversion from Mild Cognitive,"Nho, K. et al. [41]","AD, MCI",ADNI,ML,72.3%
Impairment to Probable Alzheimer's Disease using Structural,,,,,
Magnetic Resonance Imaging,,,,,
Manifold population modeling as a neuro-imaging biomarker:,"Guerrero, R. et al. [34]","AD, MCI",ADNI,ML,71.0%
application to ADNI and ADNI-GO,,,,,
Bioprofile analysis: A new approach for the analysis of,"Escudero, J. et al. [33]","AD, MCI",ADNI,ML,68.2%
biomedical data in Alzheimer's disease,,,,,
Inter-modality relationship constrained multi-modality multi-,"Liu, F. et al. [50]","AD, MCI",ADNI,ML,67.83%
