case,task,subtask,score,value,alg_number,alg_name,phase
1,braintumor,BRATS_L1,DCS,0.123546387,1,BCVuniandes,1
1,braintumor,BRATS_L2,DCS,0.10641349,1,BCVuniandes,1
1,braintumor,BRATS_L1,HSD,0.3012989,1,BCVuniandes,1
1,braintumor,BRATS_L2,HSD,0.4320982,1,BCVuniandes,1
2,braintumor,BRATS_L1,DCS,0.670548523,1,BCVuniandes,1
2,braintumor,BRATS_L2,DCS,0,1,BCVuniandes,1
2,braintumor,BRATS_L1,HSD,0.94032973,1,BCVuniandes,1
2,braintumor,BRATS_L2,HSD,0,1,BCVuniandes,1
3,braintumor,BRATS_L1,DCS,0.616170924,1,BCVuniandes,1
3,braintumor,BRATS_L2,DCS,0.896613273,1,BCVuniandes,1
3,braintumor,BRATS_L1,HSD,0.96244496,1,BCVuniandes,1
3,braintumor,BRATS_L2,HSD,0.96365535,1,BCVuniandes,1
4,braintumor,BRATS_L1,DCS,0.794326535,1,BCVuniandes,1
4,braintumor,BRATS_L2,DCS,0.361382259,1,BCVuniandes,1
4,braintumor,BRATS_L3,DCS,0.723442492,1,BCVuniandes,1
4,braintumor,BRATS_L1,HSD,0.9352906,1,BCVuniandes,1
4,braintumor,BRATS_L2,HSD,0.6069413,1,BCVuniandes,1
4,braintumor,BRATS_L3,HSD,0.9599354,1,BCVuniandes,1
5,braintumor,BRATS_L1,DCS,0.868228565,1,BCVuniandes,1
5,braintumor,BRATS_L2,DCS,0,1,BCVuniandes,1
5,braintumor,BRATS_L1,HSD,0.957643,1,BCVuniandes,1
5,braintumor,BRATS_L2,HSD,0,1,BCVuniandes,1
6,braintumor,BRATS_L1,DCS,0.809007071,1,BCVuniandes,1
6,braintumor,BRATS_L2,DCS,0.836865338,1,BCVuniandes,1
6,braintumor,BRATS_L3,DCS,0.770179838,1,BCVuniandes,1
6,braintumor,BRATS_L1,HSD,0.9770538,1,BCVuniandes,1
6,braintumor,BRATS_L2,HSD,0.8901916,1,BCVuniandes,1
6,braintumor,BRATS_L3,HSD,0.99018073,1,BCVuniandes,1
7,braintumor,BRATS_L1,DCS,0.7511675,1,BCVuniandes,1
7,braintumor,BRATS_L2,DCS,0.899093451,1,BCVuniandes,1
7,braintumor,BRATS_L3,DCS,0.893718697,1,BCVuniandes,1
7,braintumor,BRATS_L1,HSD,0.9912077,1,BCVuniandes,1
7,braintumor,BRATS_L2,HSD,0.9931851,1,BCVuniandes,1
7,braintumor,BRATS_L3,HSD,0.9999402,1,BCVuniandes,1
8,braintumor,BRATS_L1,DCS,0.864733915,1,BCVuniandes,1
8,braintumor,BRATS_L2,DCS,0.665705765,1,BCVuniandes,1
8,braintumor,BRATS_L3,DCS,0.627911607,1,BCVuniandes,1
8,braintumor,BRATS_L1,HSD,0.90532523,1,BCVuniandes,1
8,braintumor,BRATS_L2,HSD,0.7491348,1,BCVuniandes,1
8,braintumor,BRATS_L3,HSD,0.8634112,1,BCVuniandes,1
9,braintumor,BRATS_L1,DCS,0.658477128,1,BCVuniandes,1
9,braintumor,BRATS_L2,DCS,0.47441595,1,BCVuniandes,1
9,braintumor,BRATS_L3,DCS,0.547540382,1,BCVuniandes,1
9,braintumor,BRATS_L1,HSD,0.8555796,1,BCVuniandes,1
9,braintumor,BRATS_L2,HSD,0.57169515,1,BCVuniandes,1
9,braintumor,BRATS_L3,HSD,0.7690047,1,BCVuniandes,1
10,braintumor,BRATS_L1,DCS,0.704919243,1,BCVuniandes,1
10,braintumor,BRATS_L2,DCS,0.459016393,1,BCVuniandes,1
10,braintumor,BRATS_L3,DCS,0.481814701,1,BCVuniandes,1
10,braintumor,BRATS_L1,HSD,0.8033954,1,BCVuniandes,1
10,braintumor,BRATS_L2,HSD,0.85955787,1,BCVuniandes,1
10,braintumor,BRATS_L3,HSD,0.9022901,1,BCVuniandes,1
11,braintumor,BRATS_L1,DCS,0.4771494,1,BCVuniandes,1
11,braintumor,BRATS_L2,DCS,0.559570667,1,BCVuniandes,1
11,braintumor,BRATS_L3,DCS,0.69837681,1,BCVuniandes,1
11,braintumor,BRATS_L1,HSD,0.7719975,1,BCVuniandes,1
11,braintumor,BRATS_L2,HSD,0.91970485,1,BCVuniandes,1
11,braintumor,BRATS_L3,HSD,0.97388804,1,BCVuniandes,1
12,braintumor,BRATS_L1,DCS,0.521942397,1,BCVuniandes,1
12,braintumor,BRATS_L2,DCS,0.546630936,1,BCVuniandes,1
12,braintumor,BRATS_L3,DCS,0.629093771,1,BCVuniandes,1
12,braintumor,BRATS_L1,HSD,0.74189913,1,BCVuniandes,1
12,braintumor,BRATS_L2,HSD,0.76355153,1,BCVuniandes,1
12,braintumor,BRATS_L3,HSD,0.8620414,1,BCVuniandes,1
13,braintumor,BRATS_L1,DCS,0.630436458,1,BCVuniandes,1
13,braintumor,BRATS_L2,DCS,0.676361454,1,BCVuniandes,1
13,braintumor,BRATS_L3,DCS,0.166666667,1,BCVuniandes,1
13,braintumor,BRATS_L1,HSD,0.87821805,1,BCVuniandes,1
13,braintumor,BRATS_L2,HSD,0.8251077,1,BCVuniandes,1
13,braintumor,BRATS_L3,HSD,0.6935361,1,BCVuniandes,1
14,braintumor,BRATS_L1,DCS,0.382050904,1,BCVuniandes,1
14,braintumor,BRATS_L2,DCS,0.015615041,1,BCVuniandes,1
14,braintumor,BRATS_L3,DCS,0.61911126,1,BCVuniandes,1
14,braintumor,BRATS_L1,HSD,0.66679233,1,BCVuniandes,1
14,braintumor,BRATS_L2,HSD,0.28317794,1,BCVuniandes,1
14,braintumor,BRATS_L3,HSD,0.8238803,1,BCVuniandes,1
15,braintumor,BRATS_L1,DCS,0.797928167,1,BCVuniandes,1
15,braintumor,BRATS_L1,HSD,0.9288293,1,BCVuniandes,1
16,braintumor,BRATS_L1,DCS,0.797257143,1,BCVuniandes,1
16,braintumor,BRATS_L1,HSD,0.87611187,1,BCVuniandes,1
17,braintumor,BRATS_L1,DCS,0.804013441,1,BCVuniandes,1
17,braintumor,BRATS_L2,DCS,0.624879093,1,BCVuniandes,1
17,braintumor,BRATS_L3,DCS,0.581899905,1,BCVuniandes,1
17,braintumor,BRATS_L1,HSD,0.94425315,1,BCVuniandes,1
17,braintumor,BRATS_L2,HSD,0.9033891,1,BCVuniandes,1
17,braintumor,BRATS_L3,HSD,0.82865185,1,BCVuniandes,1
18,braintumor,BRATS_L1,DCS,0.873004435,1,BCVuniandes,1
