ID,User,Dice,Hausdorff,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A
1,Miaofei Han,oui,,0.869078,0.943789,0.939634,0.943760,0.852194,0.935029,0.944705,0.951152,0.903313,0.969781,0.933626,0.959412,0.828486,0.940096,0.937582,0.955425,0.846651,0.967156,0.927728,0.960263,0.836695,0.958547,0.948914,0.953564,0.895257,0.950111,0.939890,0.916958,0.823229,0.948528,0.932119,0.961533,0.882752,0.951768,0.943109,0.930027,0.875635,0.969258,0.953749,0.957996,0.865025,0.958531,0.897031,0.946246,0.830482,0.954670,0.898170,0.933883,0.827570,0.930278,0.910419,0.959118,0.834305,0.955618,0.893969,0.927314,0.875039,0.970219,0.935498,0.913339,0.884445,0.970611,0.948389,0.956266,0.899071,0.944331,0.903017,0.939230,0.870783,0.958007,0.916014,0.953284,0.899454,0.953286,0.939763,0.963297,0.903195,0.942254,0.907987,0.946325
1,Miaofei Han,,oui,0.223020,0.152844,0.110521,0.105174,0.250246,0.193584,0.077608,0.070946,0.128986,0.052724,0.102326,0.050329,0.397789,0.176656,0.089820,0.067523,0.387541,0.058315,0.137936,0.056624,0.459916,0.098210,0.109908,0.068889,0.206111,0.188255,0.127334,0.506142,0.377486,0.106933,0.097986,0.054488,0.166840,0.111678,0.096463,0.127426,0.157747,0.054159,0.119578,0.060540,0.217966,0.097178,0.202564,0.095661,0.348100,0.111214,0.169001,0.101328,0.475207,0.410753,0.354792,0.089690,0.379015,0.093316,0.370046,0.357631,0.237269,0.051659,0.115284,0.191258,0.195777,0.055391,0.061575,0.060109,0.151500,0.134302,0.134256,0.144895,0.171351,0.084250,0.221435,0.056236,0.126526,0.141141,0.102567,0.054466,0.120940,0.170659,0.104201,0.099432
2,Tao He,oui,,0.866946,0.960278,0.911920,0.944460,0.825264,0.906762,0.932652,0.945946,0.855739,0.963870,0.946291,0.966580,0.850224,0.940240,0.887181,0.959265,0.866802,0.966178,0.909070,0.966996,0.855120,0.954041,0.939650,0.946791,0.890317,0.920154,0.932684,0.920882,0.829856,0.934718,0.931221,0.961075,0.860724,0.952736,0.952000,0.937101,0.866385,0.976432,0.965778,0.965449,0.800418,0.961182,0.909117,0.953604,0.828118,0.960622,0.886076,0.935730,0.815915,0.929580,0.903395,0.954317,0.808342,0.953596,0.876808,0.947769,0.906338,0.958998,0.961934,0.930389,0.872180,0.970283,0.925480,0.958173,0.907964,0.950796,0.924722,0.925973,0.889076,0.947019,0.935509,0.931072,0.877398,0.951501,0.885640,0.971888,0.914204,0.941567,0.884798,0.945117
2,Tao He,,oui,0.247387,0.082188,0.176756,0.118448,0.309007,0.308768,0.144283,0.090897,0.265017,0.068287,0.060691,0.045082,0.363455,0.198954,0.408517,0.054454,0.196380,0.062176,0.176601,0.040251,0.310161,0.106783,0.103987,0.114936,0.256203,0.293589,0.195913,0.205032,0.401133,0.206259,0.086191,0.068851,0.224287,0.101263,0.063349,0.104528,0.197279,0.035465,0.036790,0.043859,0.468663,0.077217,0.352394,0.073168,0.322949,0.096175,0.243965,0.125077,0.540679,0.415785,0.412864,0.121418,0.424194,0.109915,0.326359,0.128475,0.145293,0.087381,0.054970,0.128489,0.245767,0.053741,0.105656,0.066660,0.120920,0.105488,0.109526,0.297085,0.156291,0.104202,0.124635,0.311761,0.191535,0.107100,0.320130,0.034015,0.098655,0.146193,0.144874,0.085219
5,Qin Wang ,oui,,0.850637,0.950405,0.924136,0.937174,0.756038,0.924067,0.932083,0.938948,0.842398,0.962056,0.954385,0.961277,0.828305,0.901554,0.902425,0.950786,0.750293,0.961599,0.935068,0.956830,0.823346,0.941759,0.936978,0.938240,0.854914,0.913664,0.942953,0.916963,0.754103,0.942436,0.943546,0.955243,0.837973,0.943001,0.939145,0.930114,0.845308,0.974585,0.955135,0.963211,0.828452,0.948726,0.891919,0.957613,0.745589,0.951791,0.860354,0.943231,0.775276,0.930672,0.925959,0.946912,0.802336,0.957204,0.904145,0.924588,0.788081,0.962921,0.944734,0.916298,0.836560,0.969963,0.932078,0.960139,0.888059,0.934929,0.884687,0.915226,0.870255,0.949307,0.923315,0.936216,0.872376,0.952350,0.914131,0.967469,0.854910,0.943796,0.887353,0.950302
5,Qin Wang ,,oui,0.357385,0.106646,0.192143,0.155381,0.577519,0.256930,0.126966,0.152754,0.220611,0.073463,0.060843,0.053612,0.300378,0.364828,0.392216,0.087896,0.519053,0.077522,0.165057,0.056168,0.409231,0.155366,0.157421,0.146026,0.411335,0.338951,0.182551,0.377661,0.645576,0.154283,0.074038,0.082216,0.365090,0.137583,0.122892,0.124139,0.303013,0.040591,0.104847,0.051522,0.265856,0.130101,0.254112,0.058211,0.735963,0.137455,0.434045,0.080867,0.706718,0.438131,0.297568,0.165639,0.408957,0.099619,0.336523,0.491217,0.395330,0.075122,0.103320,0.224904,0.305144,0.057158,0.096790,0.059344,0.157136,0.169549,0.401272,0.419760,0.185024,0.101360,0.211664,0.193431,0.181551,0.116958,0.225167,0.045147,0.226001,0.156242,0.150262,0.076390
9,Sulaiman Versal,oui,,0.873355,0.952160,0.925675,0.941690,0.859684,0.930713,0.938592,0.941021,0.890829,0.965191,0.944249,0.963699,0.873365,0.897936,0.918509,0.950135,0.794894,0.962433,0.932809,0.964540,0.862593,0.956438,0.908505,0.953860,0.878656,0.905516,0.936108,0.821422,0.748192,0.947928,0.918969,0.966689,0.872516,0.941852,0.932609,0.934786,0.877624,0.977338,0.953270,0.962103,0.846056,0.922704,0.917716,0.952642,0.846416,0.946876,0.896021,0.930453,0.743029,0.919758,0.916980,0.950169,0.807557,0.941669,0.926857,0.920212,0.895573,0.942195,0.953953,0.914172,0.879773,0.971525,0.929110,0.925715,0.903355,0.941321,0.925284,0.914236,0.887709,0.904529,0.927067,0.930876,0.905764,0.944232,0.909134,0.963005,0.911736,0.956884,0.901842,0.948953
9,Sulaiman Versal,,oui,0.259730,0.118140,0.201000,0.113979,0.264411,0.202094,0.134810,0.093307,0.168936,0.065048,0.119542,0.060176,0.347349,0.518661,0.283426,0.068024,0.458749,0.068887,0.100402,0.042413,0.297158,0.100299,0.390694,0.099864,0.326582,0.622830,0.199934,2.442103,0.565851,0.113416,0.227726,0.053939,0.256923,0.144367,0.162354,0.154621,0.174226,0.032816,0.115373,0.049420,0.388093,0.246595,0.273293,0.080478,0.304095,0.191932,0.391811,0.137697,1.446193,0.511194,0.324880,0.187012,0.415736,0.175600,0.135798,0.306121,0.193219,0.174021,0.055480,0.300610,0.198452,0.054826,0.107102,0.748698,0.159502,0.139128,0.124089,0.487974,0.149803,0.779746,0.180625,0.363114,0.135682,0.157360,0.208309,0.076837,0.105995,0.107180,0.121567,0.075657
12,Louis van Harten,oui,,0.852396,0.944308,0.919904,0.940066,0.829257,0.914207,0.922314,0.914449,0.849379,0.946745,0.882110,0.951070,0.701233,0.911060,0.912334,0.924729,0.800617,0.956131,0.915072,0.933852,0.850281,0.950099,0.900552,0.948626,0.877401,0.901104,0.931318,0.918104,0.752921,0.929412,0.882180,0.935326,0.836386,0.944513,0.937861,0.931805,0.839568,0.961561,0.922462,0.937202,0.834425,0.944486,0.879324,0.942394,0.807262,0.944054,0.919568,0.934960,0.809426,0.928383,0.903000,0.952246,0.802734,0.945795,0.912797,0.894871,0.880327,0.961180,0.918778,0.913804,0.863147,0.969294,0.925118,0.944432,0.900168,0.937953,0.894023,0.928290,0.876558,0.944640,0.900252,0.933182,0.875515,0.937033,0.870328,0.948776,0.882771,0.931638,0.887027,0.936532
12,Louis van Harten,,oui,0.262017,0.162527,0.157807,0.154668,0.262138,0.289633,0.143887,1.582118,0.213258,0.118350,0.292315,0.061212,1.168453,0.302627,0.182795,0.496635,0.383005,0.285947,0.180806,0.126604,0.279182,0.105272,0.221316,0.141370,0.312691,0.401733,0.187895,0.257419,0.586955,0.206964,0.175611,0.118941,0.354227,0.144756,0.117994,0.148638,0.237119,0.074273,0.145013,0.190078,0.286737,0.128968,0.492322,0.095454,0.398672,0.308840,0.133820,0.195110,0.564686,0.431992,0.406203,0.112132,0.420398,0.158196,0.222448,0.898394,0.204565,0.077662,0.122585,0.161093,0.212682,0.054234,0.101728,0.145465,0.132769,0.166191,0.174879,0.155906,0.157093,0.127285,0.197389,0.128774,0.183694,0.202494,0.341576,0.104603,0.176984,0.197265,0.184026,0.188697
